date,USD,CNY,JPY,KRW
2020-01-01,1.000000,6.962300,108.681000,1153.750000
2020-01-02,1.000000,6.962200,108.712997,1153.969971
2020-01-03,1.000000,6.963400,108.542999,1157.150024
2020-01-06,1.000000,6.964500,107.963997,1165.849976
2020-01-07,1.000000,6.974500,108.405998,1167.420044
2020-01-08,1.000000,6.944400,108.015999,1166.459961
2020-01-09,1.000000,6.945200,109.030998,1161.260010
2020-01-10,1.000000,6.951700,109.507004,1157.810059
2020-01-13,1.000000,6.909300,109.566002,1156.930054
2020-01-14,1.000000,6.892700,109.991997,1153.939941
2020-01-15,1.000000,6.900300,109.853996,1157.050049
2020-01-16,1.000000,6.889800,109.883003,1156.780029
2020-01-17,1.000000,6.878100,110.175003,1158.770020
2020-01-20,1.000000,6.858700,110.180000,1160.359985
2020-01-21,1.000000,6.865800,110.172997,1157.569946
2020-01-22,1.000000,6.904800,109.907997,1168.739990
2020-01-23,1.000000,6.905700,109.727997,1163.729980
2020-01-24,1.000000,6.935600,109.552002,1167.599976
2020-01-27,1.000000,6.935700,108.802002,1169.150024
2020-01-28,1.000000,6.935700,108.919998,1176.729980
2020-01-29,1.000000,6.935700,109.132004,1174.280029
2020-01-30,1.000000,6.935700,108.987000,1178.079956
2020-01-31,1.000000,6.935700,108.876999,1187.119995
2020-02-03,1.000000,6.935700,108.372002,1194.869995
2020-02-04,1.000000,7.020600,108.612000,1189.359985
2020-02-05,1.000000,6.997500,109.446999,1182.479980
2020-02-06,1.000000,6.972800,109.814003,1183.459961
2020-02-07,1.000000,6.969800,109.968002,1184.250000
2020-02-10,1.000000,7.000600,109.644997,1191.089966
2020-02-11,1.000000,6.983500,109.765999,1185.630005
2020-02-12,1.000000,6.964900,109.843002,1180.719971
2020-02-13,1.000000,6.971000,109.846001,1177.959961
2020-02-14,1.000000,6.976400,109.758003,1183.469971
2020-02-17,1.000000,6.986100,109.791000,1182.180054
2020-02-18,1.000000,6.979300,109.830002,1183.810059
2020-02-19,1.000000,6.996200,109.918999,1189.930054
2020-02-20,1.000000,6.997200,111.209999,1191.369995
2020-02-21,1.000000,7.022400,111.954002,1204.400024
2020-02-24,1.000000,7.026200,111.556999,1205.770020
2020-02-25,1.000000,7.028400,110.857002,1217.650024
2020-02-26,1.000000,7.036400,110.286003,1214.550049
2020-02-27,1.000000,7.039800,110.362999,1211.359985
2020-02-28,1.000000,7.003500,109.660004,1211.310059
2020-03-02,1.000000,6.990900,107.696999,1200.099976
2020-03-03,1.000000,6.999800,108.487000,1188.280029
2020-03-04,1.000000,6.961000,107.037003,1186.339966
2020-03-05,1.000000,6.965400,107.677002,1183.680054
2020-03-06,1.000000,6.936000,106.248001,1187.469971
2020-03-09,1.000000,6.931100,103.938004,1187.699951
2020-03-10,1.000000,6.945600,103.112000,1199.959961
2020-03-11,1.000000,6.955600,105.026001,1184.699951
2020-03-12,1.000000,6.959600,104.550003,1189.390015
2020-03-13,1.000000,7.028600,104.610001,1209.969971
2020-03-16,1.000000,7.007200,106.688004,1210.800049
2020-03-17,1.000000,6.992700,106.175003,1232.040039
2020-03-18,1.000000,7.006200,107.376999,1237.989990
2020-03-19,1.000000,7.046400,108.360001,1255.349976
2020-03-20,1.000000,7.107700,111.291000,1256.880005
2020-03-23,1.000000,7.094800,110.461998,1253.949951
2020-03-24,1.000000,7.091300,110.827003,1262.930054
2020-03-25,1.000000,7.062000,111.120003,1228.599976
2020-03-26,1.000000,7.113500,110.875999,1231.079956
2020-03-27,1.000000,7.073100,109.109001,1212.189941
2020-03-30,1.000000,7.095300,107.413002,1211.630005
2020-03-31,1.000000,7.099200,108.035004,1222.699951
2020-04-01,1.000000,7.081400,107.508003,1216.660034
2020-04-02,1.000000,7.099300,107.257004,1234.729980
2020-04-03,1.000000,7.083200,108.000999,1226.849976
2020-04-06,1.000000,7.091300,108.693001,1235.800049
2020-04-07,1.000000,7.091300,109.114998,1223.099976
2020-04-08,1.000000,7.044800,108.651001,1215.310059
2020-04-09,1.000000,7.064900,108.921997,1214.750000
2020-04-10,1.000000,7.042200,108.560997,1209.510010
2020-04-13,1.000000,7.035100,108.335999,1211.040039
2020-04-14,1.000000,7.051600,107.623001,1213.900024
2020-04-15,1.000000,7.048300,107.103996,1212.380005
2020-04-16,1.000000,7.066500,107.609001,1222.550049
2020-04-17,1.000000,7.078800,107.945000,1226.640015
2020-04-20,1.000000,7.072200,107.669998,1215.260010
2020-04-21,1.000000,7.072400,107.668999,1218.099976
2020-04-22,1.000000,7.070800,107.721001,1230.849976
2020-04-23,1.000000,7.083100,107.813004,1231.380005
2020-04-24,1.000000,7.065200,107.667000,1232.449951
2020-04-27,1.000000,7.080900,107.495003,1229.500000
2020-04-28,1.000000,7.085300,107.282997,1220.869995
2020-04-29,1.000000,7.078100,106.740997,1220.400024
2020-04-30,1.000000,7.075400,106.610001,1210.790039
2020-05-01,1.000000,7.061300,107.285004,1212.959961
2020-05-04,1.000000,7.061500,106.737999,1223.780029
2020-05-05,1.000000,7.061500,106.696999,1222.449951
2020-05-06,1.000000,7.061500,106.452003,1221.250000
2020-05-07,1.000000,7.103600,106.191002,1228.530029
2020-05-08,1.000000,7.083800,106.359001,1218.630005
2020-05-11,1.000000,7.073100,106.918999,1218.699951
2020-05-12,1.000000,7.098000,107.566002,1222.400024
2020-05-13,1.000000,7.082100,107.138000,1225.650024
2020-05-14,1.000000,7.091300,106.932999,1226.550049
2020-05-15,1.000000,7.094700,107.364998,1225.459961
2020-05-18,1.000000,7.101200,107.208000,1232.089966
2020-05-19,1.000000,7.108600,107.380997,1224.199951
2020-05-20,1.000000,7.098200,107.809998,1224.319946
2020-05-21,1.000000,7.092500,107.591003,1226.550049
2020-05-22,1.000000,7.114300,107.630997,1233.390015
2020-05-25,1.000000,7.129400,107.735001,1239.550049
2020-05-26,1.000000,7.135700,107.686996,1240.020020
2020-05-27,1.000000,7.134100,107.490997,1230.869995
2020-05-28,1.000000,7.168200,107.797997,1238.300049
2020-05-29,1.000000,7.145200,107.642998,1237.979980
2020-06-01,1.000000,7.136300,107.708000,1230.469971
2020-06-02,1.000000,7.126700,107.547997,1222.989990
2020-06-03,1.000000,7.099900,108.808998,1219.140015
2020-06-04,1.000000,7.114700,108.999001,1215.819946
2020-06-05,1.000000,7.109200,109.150002,1215.380005
2020-06-08,1.000000,7.081000,109.634003,1201.109985
2020-06-09,1.000000,7.070300,108.408997,1195.729980
2020-06-10,1.000000,7.076300,107.796997,1197.300049
2020-06-11,1.000000,7.060000,106.981003,1189.739990
2020-06-12,1.000000,7.064100,106.803001,1204.760010
2020-06-15,1.000000,7.082400,107.310997,1202.609985
2020-06-16,1.000000,7.090800,107.463997,1206.900024
2020-06-17,1.000000,7.086000,107.410004,1211.150024
2020-06-18,1.000000,7.084500,106.893997,1214.349976
2020-06-19,1.000000,7.088400,107.005997,1211.359985
2020-06-22,1.000000,7.071300,106.831001,1210.890015
2020-06-23,1.000000,7.067400,106.903000,1208.000000
2020-06-24,1.000000,7.057400,106.431999,1207.949951
2020-06-25,1.000000,7.077200,107.043999,1205.250000
2020-06-26,1.000000,7.077200,107.154999,1201.520020
2020-06-29,1.000000,7.077200,107.218002,1202.630005
2020-06-30,1.000000,7.079600,107.589996,1198.489990
2020-07-01,1.000000,7.064400,107.988998,1198.390015
2020-07-02,1.000000,7.070100,107.365997,1200.699951
2020-07-03,1.000000,7.065500,107.497002,1198.170044
