date,value_usd,value_cny,value_jpy,value_krw
2020-06-25,692.3100623045,4899.6167729414,74107.6376170125,834406.7025924948
2020-06-26,680.227873827,4814.1087086483,72889.8171397022,817307.4085651512
2020-06-29,687.4771869135,4865.4135472242,73709.930401445,826780.6927351567
2020-06-30,692.3100623045,4901.2783170909,74485.6368341006,829726.6796482158
2020-07-01,694.122376173,4903.5581142367,74957.5798923034,831829.3247938204
2020-07-02,700.163499218,4950.2259558211,75173.7521565479,840686.2792030257
2020-07-03,700.163499218,4947.0052037247,75265.477075763,838914.9306652095
2020-07-06,712.2456876955,5032.3006818438,76622.6802610859,853626.4567030607
2020-07-07,704.996374609,4947.1710595437,75687.7064866433,839601.3704828928
2020-07-08,711.6415638685,4990.6711232536,76556.9782927726,850909.783047156
2020-07-09,708.0169361315,4958.5966121968,75958.1788349425,843970.3623677823
2020-07-10,712.8498115225,4985.0300169579,76443.1623884251,852404.4333812366
2020-07-13,1399.1210771914,9782.6545717219,149580.0399590119,1678273.7424949931
2020-07-14,1413.4710235062,9889.2086688585,151631.5189311183,1701508.1896669106
2020-07-15,1429.0168271914,9997.1159196653,153254.9139191871,1720507.6510215085
2020-07-16,1419.4501963148,9918.8340818086,151763.3566393907,1704007.3360059862
2020-07-17,1425.4293691235,9961.1855173086,152917.2118608264,1716544.7806709555
2020-07-20,1436.1918573704,10040.7045132478,153801.7802610262,1727063.8358931628
2020-07-21,1445.7584882469,10094.7194924865,154979.5254603581,1734953.600577945
2020-07-22,1448.1500889444,10107.6531758055,154708.771750262,1727266.5226060846
2020-07-23,1437.3877147408,10059.8453991561,154052.0326395034,1720883.6649713176
2020-07-24,2121.3281161413,14855.8729301493,226638.4469083219,2547587.6626403974
2020-07-27,2144.4053464565,15045.3623512736,227291.9473093454,2574337.1529235435
2020-07-28,2133.7544212608,14921.7714187613,224601.1284038454,2551799.681359451
2020-07-29,2156.8314822826,15097.1733265338,226698.0909219443,2586838.964121171
2020-07-30,2142.6301358261,14999.0537398235,225044.7241408278,2551293.9387796223
2020-07-31,2131.9792106304,14939.4179226505,223181.9775744447,2536117.3155842917
2020-08-03,2153.2812303152,15017.4139564643,227959.2642687061,2569704.3197450847
2020-08-04,2165.7073661413,15115.3379912467,229629.9498662567,2581003.4323296524
2020-08-05,2185.2343444891,15236.9835138191,230791.3356884028,2605345.6472171266
2020-08-06,2190.5598070869,15190.6560382251,231220.1615080081,2596207.7904535346
2020-08-07,2735.5327715092,19018.5180406404,288820.2882842425,3236600.429629947
2020-08-10,2739.9845133991,19089.4721048517,290027.3552633282,3255512.6653547976
2020-08-11,2735.5327715092,19041.496515921,289944.5813112017,3242125.9240685203
2020-08-12,2768.9199866009,19230.9799829391,294948.1369683918,3281114.750343906
2020-08-13,2764.4684569817,19174.9061113162,295306.0467472263,3269675.067495058
2020-08-14,2760.0167150917,19164.4520629108,295283.1482808012,3268190.9788743067
2020-08-17,2773.3717284908,19273.2694899742,295513.8539309836,3289329.9130207608
2020-08-18,2777.82325811,19255.3152605672,294435.3845768442,3286442.630002238
2020-08-19,2766.6943279266,19147.7381047147,291122.641195058,3274770.115807498
2020-08-20,2898.4751108322,20055.1289868703,307467.3470789207,3423707.6726255906
2020-08-21,3590.7794895344,24829.5220142323,379419.7183524296,4252524.381701069
2020-08-24,3628.4247926741,25103.2569281155,384166.7281455271,4322179.435240531
2020-08-25,3642.9037979069,25204.8870873379,386122.2876799283,4328680.437862845
2020-08-26,3668.9659520931,25359.5257642725,390396.318463503,4353081.200430737
2020-08-27,3660.2786594191,25200.6525422343,387462.4687523,4333220.803106566
2020-08-28,3686.3405374413,25395.9372305403,393100.2995774635,4374137.792718059
2020-08-31,3663.1742395344,25145.4932498598,386593.1080219576,4321043.576664433
2020-09-01,3689.2363937206,25262.7840532807,391073.8073014885,4379271.312682352
2020-09-02,3723.9858405809,25425.5133265664,394355.2194701026,4412625.4660765445
2020-09-03,3631.3206489534,24828.4286730893,385675.3034840467,4316369.376530199
2020-09-04,3613.9457874413,24740.3500716653,383389.049192547,4303414.469573724
2020-09-07,3613.9457874413,24724.8101047793,384202.1797668298,4287657.720149667
2020-09-08,4239.6515,28954.69991925,450696.1527075,5031661.046854438
2020-09-09,4301.9485256195,29447.2678527181,455868.8899667449,5116049.221588257
2020-09-10,4253.4952467976,29059.0288270716,451853.0663230376,5037754.721669572
2020-09-11,4274.2610320244,29207.3079101322,453682.8801736421,5074530.839565089
2020-09-14,4329.6360192146,29586.1347737013,459569.2022706289,5139147.940167746
2020-09-15,4350.4014743805,29622.3186792042,459902.6744625279,5137127.929093811
2020-09-16,4353.8624935951,29520.493865323,458814.3703759601,5134292.345572049
2020-09-17,4336.5577275829,29287.8099247768,455607.4106290871,5082748.98159401
2020-09-18,5004.633775322,33851.8433196553,523975.1369993911,5848665.38164122
